Paper title;Authors;Year of publication;Where it was published;Full abstract;Amount of citations
A Framework for Automated Testing;Thomas Fehlmann, Eberhard Kranich;2020;European Conference on Software Process Improvement;Abstract not available;6
Towards MLOps: A Case Study of ML Pipeline Platform;Yue Zhou, Yue Yu, Bo Ding;2020;2020 International Conference on Artificial Intelligence and Computer Engineering (ICAICE);The development and deployment of machine learning (ML) applications differ significantly from traditional applications in many ways, which have led to an increasing need for efficient and reliable production of ML applications and supported infrastructures. Though platforms such as TensorFlow Extended (TFX), ModelOps, and Kubeflow have provided end-to-end lifecycle management for ML applications by orchestrating its phases into multistep ML pipelines, their performance is still uncertain. To address this, we built a functional ML platform with DevOps capability from existing continuous integration (CI) or continuous delivery (CD) tools and Kubeflow, constructed and ran ML pipelines to train models with different layers and hyperparameters while time and computing resources consumed were recorded. On this basis, we analyzed the time and resource consumption of each step in the ML pipeline, explored the consumption concerning the ML platform and computational models, and proposed potential performance bottlenecks such as GPU utilization. Our work provides a valuable reference for ML pipeline platform construction in practice.;58
Euclid. I. Overview of the Euclid mission;Euclid Collaboration Y. Mellier, Abdurro’uf, J. A. A. Barroso, A. Ach'ucarro, J. Adamek, R. Adam, G. E. Addison, N. Aghanim, M. Aguena, V. Ajani, Y. Akrami, A. Al-Bahlawan, A. Alavi, I. S. Albuquerque, G. Alestas, G. Alguero, A. Allaoui, S. W. Allen, V. Allevato, A. V. Alonso-Tetilla, B. Altieri, A. Alvarez-Candal, A. Amara, L. Amendola, J. Amiaux, I. Andika, S. Andreon, A. Andrews, G. Angora, R. E. Angulo, F. Annibali, A. Anselmi, S. Anselmi, S. Arcari, M. Archidiacono, G. Aricò, M. Arnaud, S. Arnouts, M. Asgari, J. Asorey, L. Atayde, H. Atek, F. Atrio-Barandela, M. Aubert, É. Aubourg, T. Auphan, N. Auricchio, B. Aussel, H. Aussel, P. Avelino, A. Avgoustidis, S. Ávila, S. Awan, R. Azzollini, C. Baccigalupi, E. Bachelet, D. Bacon, M. Baes, M. Bagley, B. Bahr-Kalus, A. Balaguera-Antolínez, E. Balbinot, M. Balcells, M. Baldi, I. Baldry, A. Balestra, M. Ballardini, O. Ballester, M. Balogh, E. Bañados, R. Barbier, S. Bardelli, T. Barreiro, J. Barrière, B. J. Barros, A. Barthelemy, N. Bartolo, A. Basset, P. Battaglia, A. J. Battisti, C. M. Baugh, L. Baumont, L. Bazzanini, J. Beaulieu, V. Beckmann, A. N. Belikov, J. Bel, F. Bellagamba, M. Bella, E. Bellini, K. Benabed, R. Bender, G. Benevento, C. L. Bennett, K. Benson, P. Bergamini, J. Bermejo-Climent, F. Bernardeau, D. Bertacca, M. Berthé, J. Berthier, M. Béthermin, F. Beutler, C. Bevillon, S. Bhargava, R. Bhatawdekar, L. Bisigello, A. Biviano, R. Blake, A. Blanchard, J. Blazek, L. Blot, A. Bosco, C. Bodendorf, T. Boenke, H. Bohringer, M. Bolzonella, A. Bonchi, M. Bonici, D. Bonino, L. Bonino, C. Bonvin, W. Bon, J. T. Booth, S. Borgani, A. Borlaff, E. Borsato, B. Bose, M. Botticella, A. Boucaud, F. Bouche, J. Boucher, D. Boutigny, T. Bouvard, H. Bouy, R. Bowler, V. Bozza, E. Bozzo, E. Branchini, S. Brau-Nogué, P. Brekke, M. Bremer, M. Brescia, M.-A. Breton, J. Brinchmann, T. Brinckmann, C. Brockley-Blatt, M. Brodwin, L. Brouard, M. L. Brown, S. Bruton, J. Bucko, H. Buddelmeijer, G. Buenadicha, F. Buitrago, P. Burger, C. Burigana, V. Busillo, D. Busonero, R. Cabanac, L. Cabayol-Garcia, M. S. Cagliari, A. Caillat, L. Caillat, M. Calabrese, A. Calabrò, G. Calderone, F. Calura, B. C. Quevedo, S. Camera, L. Campos, G. Cañas-Herrera, G. Candini, M. Cantiello, V. Capobianco, E. Cappellaro, N. Cappelluti, A. Cappi, K. Caputi, C. Cara, C. Carbone, V. Cardone, E. Carella, R. Carlberg, M. Carle, L. Carminati, F. Caro, J. M. Carrasco, J. Carretero, P. Carrilho, J. C. Duque, B. Carry, A. Carvalho, C. Carvalho, R. Casas, S. Casas, P. Casenove, C. M. Casey, P. Cassata, F. Castander, D. Castelão, M. Castellano, L. Castiblanco, G. Castignani, T. Castro, C. Cavet, S. Cavuoti, P. Chabaud, K. Chambers, Y. Charles, S. Charlot, N. Chartab, R. Chary, F. Chaumeil, H. Cho, G. Chon, E. Ciancetta, P. Ciliegi, A. Cimatti, M. Cimino, M. Cioni, R. Claydon, C. Cleland, B. Cl'ement, D. Clements, N. Clerc, S. Clesse, S. Codis, F. Cogato, J. Colbert, R. Cole, P. Coles, T. Collett, R. S. Collins, C. Colodro-Conde, C. Colombo, F. Combes, V. Conforti, G. Congedo, S. Conseil, C. Conselice, S. Contarini, T. Contini, L. Conversi, A. Cooray, Y. Copin, Pier Stefano Corasaniti, P. Corcho-Caballero, L. Corcione, O. Cordes, O. Corpace, M. Correnti, M. Costanzi, A. Costille, F. Courbin, L. C. Mifsud, H. Courtois, M. Cousinou, G. Covone, T. Cowell, C. Cragg, G. Cresci, S. Cristiani, M. Crocce, M. Cropper, P. Crouzet, B. Csizi, J. Cuby, E. Cucchetti, O. Cucciati, J. Cuillandre, P. Cunha, V. Cuozzo, E. Daddi, M. D'Addona, C. Dafonte, N. Dagoneau, E. Dalessandro, G. Dalton, G. D'Amico, H. Dannerbauer, P. Danto, I. Das, A. D. Silva, R. D. Silva, G. Daste, J. E. Davies, S. Davini, T. D. Boer, R. Decarli, B. D. Caro, H. Degaudenzi, G. Degni, J. D. Jong, L. F. D. L. Bella, S. D. Torre, F. Delhaise, D. Delley, G. Delucchi, G. Lucia, J. Denniston, F. Paolis, M. Petris, A. Derosa, S. Desai, V. Desjacques, G. Despali, G. Desprez, J. D. Vicente-Albendea, Y. Deville, J. Dias, A. D'iaz-S'anchez, J. Diaz, S. Domizio, J. M. Diego, D. Ferdinando, A. D. Giorgio, P. Dimauro, J. Dinis, K. Dolag, C. Dolding, H. Dole, H. D. S'anchez, O. Dor'e, F. Dournac, M. Douspis, H. Dreihahn, B. Droge, B. Dryer, F. Dubath, P. Duc, F. Ducret, C. Duffy, F. Dufresne, C. Duncan, X. Dupac, V. Duret, R. Durrer, F. Durret, S. Dusini, A. Ealet, A. Eggemeier, P. Eisenhardt, D. Elbaz, M. Y. Elkhashab, A. Ellien, J. Endicott, A. Enia, T. Erben, J. Vigo, S. Escoffier, I. E. Sanz, J. Essert, S. Ettori, M. Ezziati, G. Fabbian, M. Fabricius, Y. Fang, A. Farina, M. Farina, R. Farinelli, S. Farrens, F. Faustini, A. Feltre, A. Ferguson, P. Ferrando, A. G. Ferrari, A. Ferr'e-Mateu, P. G. Ferreira, I. Ferreras, I. Ferrero, S. Ferriol, P. Ferruit, D. Filleul, F. Finelli, S. Finkelstein, A. Finoguenov, B. Fiorini, F. Flentge, P. Focardi, J. Fonseca, A. Fontana, F. Fontanot, F. Fornari, P. Fosalba, M. Fossati, S. Fotopoulou, D. Fouchez, N. Fourmanoit, M. Frailis, D. Fraix-Burnet, E. Franceschi, A. Franco, P. Franzetti, J. Freihoefer, G. Frittoli, P. Frugier, N. Frusciante, A. Fumagalli, M. Fumagalli, M. Fumana, Y. Fu, L. Gabarra, S. Galeotta, L. Galluccio, K. Ganga, H. Gao, J. Garc'ia-Bellido, K. Garcia, J. P. Gardner, B. Garilli, L.-M. Gaspar-Venancio, T. Gasparetto, V. Gautard, R. Gavazzi, E. Gaztañaga, L. Genolet, R. G. Santos, F. Gentile, K. George, Z. Ghaffari, F. Giacomini, F. Gianotti, G. P. S. Gibb, W. Gillard, B. Gillis, M. Ginolfi, C. Giocoli, M. Girardi, S. Giri, L. W. K. Goh, P. G'omez-Alvarez, A. H. Gonzalez, E. J. Gonzalez, J. C. Gonzalez, S. G. Beauchamps, G. Gozaliasl, J. Graciá-Carpio, S. Grandis, B. Granett, M. Granvik, A. Grazian, A. Gregorio, C. Grenet, C. Grillo, F. Grupp, C. Gruppioni, A. Gruppuso, C. Guerbuez, S. Guerrini, M. Guidi, P. Guillard, C. M. Gutierrez, P. Guttridge, L. Guzzo, S. Gwyn, J. Haapala, J. Haase, C. Haddow, M. Hailey, A. Hall, D. Hall, N. Hamaus, B. S. Haridasu, J. Harnois-D'eraps, C. Harper, W. Hartley, G. Hasinger, F. Hassani, N. A. Hatch, S. Haugan, B. Haussler, A. Heavens, L. Heisenberg, A. Helmi, G. Helou, S. Hemmati, K. Henares, O. Herent, C. Hern'andez-Monteagudo, T. Heuberger, P. Hewett, S. Heydenreich, H. Hildebrandt, M. Hirschmann, J. Hjorth, J. Hoar, H. Hoekstra, A. Holland, M. Holliman, W. Holmes, I. Hook, B. Horeau, F. Hormuth, A. Hornstrup, S. Hosseini, D. Hu, P. Hudelot, M. Hudson, M. Huertas-Company;2024;"Astronomy &amp; Astrophysics";The current standard model of cosmology successfully describes a variety of measurements, but the nature of its main ingredients, dark matter and dark energy, remains unknown. is a medium-class mission in the Cosmic Vision 2015--2025 programme of the European Space Agency (ESA) that will provide high-resolution optical imaging, as well as near-infrared imaging and spectroscopy, over about 14\,000\,deg$^2$ of extragalactic sky. In addition to accurate weak lensing and clustering measurements that probe structure formation over half of the age of the Universe, its primary probes for cosmology, these exquisite data will enable a wide range of science. This paper provides a high-level overview of the mission, summarising the survey characteristics, the various data-processing steps, and data products. We also highlight the main science objectives and expected performance.;26
The key to leveraging AI at scale;Deborah Leff, Kenneth T. K. Lim;2021;Journal of Revenue and Pricing Management;Abstract not available;6
Reliable Fleet Analytics for Edge IoT Solutions;E. Raj, M. Westerlund, L. E. Leal;2021;arXiv.org;In recent years we have witnessed a boom in Internet of Things (IoT) device deployments, which has resulted in big data and demand for low-latency communication. This shift in the demand for infrastructure is also enabling real-time decision making using artificial intelligence for IoT applications. Artificial Intelligence of Things (AIoT) is the combination of Artificial Intelligence (AI) technologies and the IoT infrastructure to provide robust and efficient operations and decision making. Edge computing is emerging to enable AIoT applications. Edge computing enables generating insights and making decisions at or near the data source, reducing the amount of data sent to the cloud or a central repository. In this paper, we propose a framework for facilitating machine learning at the edge for AIoT applications, to enable continuous delivery, deployment, and monitoring of machine learning models at the edge (Edge MLOps). The contribution is an architecture that includes services, tools, and methods for delivering fleet analytics at scale. We present a preliminary validation of the framework by performing experiments with IoT devices on a university campus's rooms. For the machine learning experiments, we forecast multivariate time series for predicting air quality in the respective rooms by using the models deployed in respective edge devices. By these experiments, we validate the proposed fleet analytics framework for efficiency and robustness.;10
Automating Tiny ML Intelligent Sensors DevOPS Using Microsoft Azure;Chandrasekar Vuppalapati, Anitha Ilapakurti, Karthik Chillara, Sharat Kedari, Vanaja Mamidi;2020;2020 IEEE International Conference on Big Data (Big Data);Microsoft Azure DevOps is a robust ,cross platform and powerful automation engine for script-based automation tools. Azure DevOPS enables to build, test, and deploy Cloud Native and/or Non-Cloud Native applications. The core principle and chief advantage that Azure DevOps provide are the availability of automation techniques such as infrastructure as code and the seamless integration of verifiable frameworks such as Machine Learning Operations (MLOps) with the DevOps automated pipelines to provision and configure the infrastructure that applications need to run.With the increase in application complexity and with the infusion of Machine Learning (ML) and Artificial Intelligence (AI) techniques as part of the software development lifecycle, the Azure DevOps is the most important framework that many organizations are rapidly progressing to incorporate it in their business processes to reduce the cost of building product and improve customer success.As part of the paper, we would like to propose a novel DevOps framework for building intelligent Tiny ML dairy agriculture sensors and the advantages that DevOps provide to develop high quality product in the most cost-efficient manner and serve small scale farmers who are at the bottom economic pyramid.;17
Edge Intelligence: The Convergence of Humans, Things, and AI;T. Rausch, S. Dustdar;2019;2019 IEEE International Conference on Cloud Engineering (IC2E);Edge AI and Human Augmentation are two major technology trends, driven by recent advancements in edge computing, IoT, and AI accelerators. As humans, things, and AI continue to grow closer together, systems engineers and researchers are faced with new and unique challenges. In this paper, we analyze the role of edge computing and AI in the cyber-human evolution, and identify challenges that edge computing systems will consequently be faced with. We take a closer look at how a cyber-physical fabric will be complemented by AI operationalization to enable seamless end-to-end edge intelligence systems.;48
The AIQ Meta-Testbed: Pragmatically Bridging Academic AI Testing and Industrial Q Needs;Markus Borg;2020;International Conference on Software Quality. Process Automation in Software Development;Abstract not available;15
Application of DevOps in the improvement of machine learning processes;Beatriz Mayumi, Andrade Matsui¹, Denise Hideko Goya²;2020;Publication venue not available;: This work deals with the concept of DevOps and its application in the improvement of machine learning processes. DevOps practices have been increasingly used by software development teams to automate and simplify processes ranging from integration, through testing, approval, implementation, to the ﬁnal delivery of the application to users. The present study aims to focus on the possibility of applying this concept also in teams that work with machine learning and could beneﬁt from the improvements brought with the adoption of DevOps.;1
"The Robot Head ""Flobi"": A Research Platform for Cognitive Interaction Technology";Sven Wachsmuth, Simon Schulz, Florian Lier, I. Lütkebohle;2012;Publication venue not available;"Founded on a vision of a human-friendly technology that 
adapts to users’ needs and is easy und intuitive for ordinary people to use, CITEC has established an exciting new field: Cognitive Interaction Technology. It aims to elucidate the principles and mechanisms of cognition in order to find ways of replicating them in technology and 
thus enable a new deep level of service and assistance. In order to proceed in this highly interdisciplinary field, appropriate research platforms and infrastructure are needed. The anthropomorphic robot head “Flobi” combines state-of-the-art sensing functionality with an exterior that elicits a sympathetic emotion response. In order to support several lines of research and at the same time ensure the maintainability of the software and hardware components, a virtual realization of the Flobi head has 
been proposed that allows an efficient prototyping, systematic testing, and software development in a continuous integration framework.";6
