APA;Name;Year;Title;Authors;Proceeding;Abstract;Link;Google Scholar Reference
Fehlmann, T., & Kranich, E. (2020, August). A framework for automated testing. In European Conference on Software Process Improvement (pp. 275-288). Cham: Springer International Publishing.;2_safety_system_autonomous_vehicle;2020;A framework for automated testing;Thomas Fehlmann, Eberhard Kranich;European Conference on Software Process Improvement, 2020;"Autonomous Real-time Testing requires test automation. Test automation is closely related to Continuous Integration/ Continuous Delivery (CI/CD).

However, test automation is a difficult undertaking. While many tools exist that automate the execution of tests, the generation of tests remains manual even though complex systems require a high number of test cases.

This paper explains how to generate new test cases by recombination, distinguish relevant test cases from redundant test cases and proposes a framework for how to automate test generation and execution.";https://link.springer.com/chapter/10.1007/978-3-030-85521-5_25;Todo
Zhou, Y., Yu, Y., & Ding, B. (2020, October). Towards mlops: A case study of ml pipeline platform. In 2020 International conference on artificial intelligence and computer engineering (ICAICE) (pp. 494-500). IEEE.;1_ml_machine_data_learning;2020;Towards mlops: A case study of ml pipeline platform;Yue Zhou, Yue Yu, Bo Ding;2020 International conference on artificial intelligence and computer engineering (ICAICE), 494-500, 2020;The development and deployment of machine learning (ML) applications differ significantly from traditional applications in many ways, which have led to an increasing need for efficient and reliable production of ML applications and supported infrastructures. Though platforms such as TensorFlow Extended (TFX), ModelOps, and Kubeflow have provided end-to-end lifecycle management for ML applications by orchestrating its phases into multistep ML pipelines, their performance is still uncertain. To address this, we built a functional ML platform with DevOps capability from existing continuous integration (CI) or continuous delivery (CD) tools and Kubeflow, constructed and ran ML pipelines to train models with different layers and hyperparameters while time and computing resources consumed were recorded. On this basis, we analyzed the time and resource consumption of each step in the ML pipeline, explored the consumption concerning the ML platform and computational models, and proposed potential performance bottlenecks such as GPU utilization. Our work provides a valuable reference for ML pipeline platform construction in practice.;https://ieeexplore.ieee.org/abstract/document/9361315/;YKSdnxPFzBAJ
Lwakatare, L. E., Crnkovic, I., & Bosch, J. (2020, September). DevOps for AI–Challenges in Development of AI-enabled Applications. In 2020 international conference on software, telecommunications and computer networks (SoftCOM) (pp. 1-6). IEEE.;1_ml_machine_data_learning;2020;DevOps for AIâ€“Challenges in Development of AI-enabled Applications;Lucy Ellen Lwakatare, Ivica Crnkovic, Jan Bosch;2020 international conference on software, telecommunications and computer networks (SoftCOM), 1-6, 2020;When developing software systems that contain Machine Learning (ML) based components, the development process become significantly more complex. The central part of the ML process is training iterations to find the best possible prediction model. Modern software development processes, such as DevOps, have widely been adopted and typically emphasise frequent development iterations and continuous delivery of software changes. Despite the ability of modern approaches in solving some of the problems faced when building ML-based software systems, there are no established procedures on how to combine them with processes in ML workflow in practice today. This paper points out the challenges in development of complex systems that include ML components, and discuss possible solutions driven by the combination of DevOps and ML workflow processes. Industrial cases are presented to illustrate these challenges and the possible solutions.;https://ieeexplore.ieee.org/abstract/document/9238323/;_QFe207KYBsJ
Leff, D., & Lim, K. T. (2023). The key to leveraging AI at scale. In Artificial Intelligence and Machine Learning in the Travel Industry: Simplifying Complex Decision Making (pp. 171-175). Cham: Springer Nature Switzerland.;1_ml_machine_data_learning;2023;The key to leveraging AI at scale;Deborah Leff, Kenneth TK Lim;Artificial Intelligence and Machine Learning in the Travel Industry: Simplifying Complex Decision Making, 171-175, 2023;With the explosive growth of AI and ML-driven processes, companies are under more pressure than ever to drive innovation. For many, adding a Data Science capability into their organization is the easy part. Deploying models into a large, complex enterprise that is operating at scale is new, unchartered territory and quickly becoming the technology challenge of this decade. This article takes an in-depth look at the primary organizational barriers that have not only hindered success but often prevented organizations from moving beyond just experimentation. These obstacles include challenges with fragmented and siloed enterprise data, rigid legacy systems that cannot easily be infused with AI processes, and insufficient skills needed for data science, engineering and the emerging field of AI-ops. Operationalizing AI is hard, especially at the fast pace at which the business operates today. This paper uses real-world examples to guide a discussion around each of these hurdles and will equip industry leaders with a better understanding of how to overcome the challenges they will face as they navigate their data and AI journey.;https://link.springer.com/chapter/10.1007/978-3-031-25456-7_14;NNCvcZHsSzsJ
Raj, E., Westerlund, M., & Espinosa-Leal, L. (2021). Reliable fleet analytics for edge iot solutions. arXiv preprint arXiv:2101.04414.;7_edge_computing_deep_learning;2021;Reliable fleet analytics for edge iot solutions;Emmanuel Raj, Magnus Westerlund, Leonardo Espinosa-Leal;arXiv preprint arXiv:2101.04414, 2021;In recent years we have witnessed a boom in Internet of Things (IoT) device deployments, which has resulted in big data and demand for low-latency communication. This shift in the demand for infrastructure is also enabling real-time decision making using artificial intelligence for IoT applications. Artificial Intelligence of Things (AIoT) is the combination of Artificial Intelligence (AI) technologies and the IoT infrastructure to provide robust and efficient operations and decision making. Edge computing is emerging to enable AIoT applications. Edge computing enables generating insights and making decisions at or near the data source, reducing the amount of data sent to the cloud or a central repository. In this paper, we propose a framework for facilitating machine learning at the edge for AIoT applications, to enable continuous delivery, deployment, and monitoring of machine learning models at the edge (Edge MLOps). The contribution is an architecture that includes services, tools, and methods for delivering fleet analytics at scale. We present a preliminary validation of the framework by performing experiments with IoT devices on a university campus's rooms. For the machine learning experiments, we forecast multivariate time series for predicting air quality in the respective rooms by using the models deployed in respective edge devices. By these experiments, we validate the proposed fleet analytics framework for efficiency and robustness.;https://arxiv.org/abs/2101.04414;3M-5DdLamK4J
Vuppalapati, C., Ilapakurti, A., Chillara, K., Kedari, S., & Mamidi, V. (2020, December). Automating tiny ml intelligent sensors devops using microsoft azure. In 2020 ieee international conference on big data (big data) (pp. 2375-2384). IEEE.;1_ml_machine_data_learning;2020;Automating tiny ml intelligent sensors devops using microsoft azure;Chandrasekar Vuppalapati, Anitha Ilapakurti, Karthik Chillara, Sharat Kedari, Vanaja Mamidi;2020 ieee international conference on big data (big data), 2375-2384, 2020;Microsoft Azure DevOps is a robust ,cross platform and powerful automation engine for script-based automation tools. Azure DevOPS enables to build, test, and deploy Cloud Native and/or Non-Cloud Native applications. The core principle and chief advantage that Azure DevOps provide are the availability of automation techniques such as infrastructure as code and the seamless integration of verifiable frameworks such as Machine Learning Operations (MLOps) with the DevOps automated pipelines to provision and configure the infrastructure that applications need to run.With the increase in application complexity and with the infusion of Machine Learning (ML) and Artificial Intelligence (AI) techniques as part of the software development lifecycle, the Azure DevOps is the most important framework that many organizations are rapidly progressing to incorporate it in their business processes to reduce the cost of building product and improve customer success.As part of the paper, we would like to propose a novel DevOps framework for building intelligent Tiny ML dairy agriculture sensors and the advantages that DevOps provide to develop high quality product in the most cost-efficient manner and serve small scale farmers who are at the bottom economic pyramid.;https://ieeexplore.ieee.org/abstract/document/9377755/;ZbuT7AY9TboJ
Rausch, T., & Dustdar, S. (2019, June). Edge intelligence: The convergence of humans, things, and ai. In 2019 IEEE International Conference on Cloud Engineering (IC2E) (pp. 86-96). IEEE.;7_edge_computing_deep_learning;2019;Edge intelligence: The convergence of humans, things, and ai;Thomas Rausch, Schahram Dustdar;2019 IEEE International Conference on Cloud Engineering (IC2E), 86-96, 2019;Edge AI and Human Augmentation are two major technology trends, driven by recent advancements in edge computing, IoT, and AI accelerators. As humans, things, and AI continue to grow closer together, systems engineers and researchers are faced with new and unique challenges. In this paper, we analyze the role of edge computing and AI in the cyber-human evolution, and identify challenges that edge computing systems will consequently be faced with. We take a closer look at how a cyber-physical fabric will be complemented by AI operationalization to enable seamless end-to-end edge intelligence systems.;https://ieeexplore.ieee.org/abstract/document/8789967/;numtyCPvidUJ
Borg, M. (2021). The aiq meta-testbed: Pragmatically bridging academic ai testing and industrial q needs. In Software Quality: Future Perspectives on Software Engineering Quality: 13th International Conference, SWQD 2021, Vienna, Austria, January 19–21, 2021, Proceedings 13 (pp. 66-77). Springer International Publishing.;1_ml_machine_data_learning;2021;The aiq meta-testbed: Pragmatically bridging academic ai testing and industrial q needs;Markus Borg;Software Quality: Future Perspectives on Software Engineering Quality: 13th International Conference, SWQD 2021, Vienna, Austria, January 19â€“21, 2021, Proceedings 13, 66-77, 2021;AI solutions seem to appear in any and all application domains. As AI becomes more pervasive, the importance of quality assurance increases. Unfortunately, there is no consensus on what artificial intelligence means and interpretations range from simple statistical analysis to sentient humanoid robots. On top of that, quality is a notoriously hard concept to pinpoint. What does this mean for AI quality? In this paper, we share our working definition and a pragmatic approach to address the corresponding quality assurance with a focus on testing. Finally, we present our ongoing work on establishing the AIQ Meta-Testbed.;https://link.springer.com/chapter/10.1007/978-3-030-65854-0_6;w8toS310YEIJ
Matsui¹, B. M. A., & Goya, D. H. (2020). Application of DevOps in the improvement of machine learning processes.;1_ml_machine_data_learning;2020;Application of DevOps in the improvement of machine learning processes;Beatriz Mayumi Andrade MatsuiÂ¹, Denise Hideko Goya;-;This work deals with the concept of DevOps and its application in the improvement of machine learning processes. DevOps practices have been increasingly used by software development teams to automate and simplify processes ranging from integration, through testing, approval, implementation, to the final delivery of the application to users. The present study aims to focus on the possibility of applying this concept also in teams that work with machine learning and could benefit from the improvements brought with the adoption of DevOps.;https://www.researchgate.net/profile/Beatriz-Matsui/publication/346668389_Application_of_DevOps_in_the_improvement_of_machine_learning_processes/links/5fcd976fa6fdcc697be87120/Application-of-DevOps-in-the-improvement-of-machine-learning-processes.pdf;YYqhHYPRejgJ
Wachsmuth, S., Schulz, S., Lier, F., Siepmann, F., & Lütkebohle, I. (2012, September). The robot head ‘Flobi’: a research platform for cognitive interaction technology. In Proc. of the German Conference on Artificial Intelligence (pp. 3-7).;2_safety_system_autonomous_vehicle;2012;The robot head ‘Flobi’: a research platform for cognitive interaction technology;Sven Wachsmuth, Simon Schulz, Florian Lier, Frederic Siepmann, Ingo Lütkebohle;Proc. of the German Conference on Artificial Intelligence, 3-7, 2012;Founded on a vision of a human-friendly technology that adapts to users’ needs and is easy und intuitive for ordinary people to use, CITEC has established an exciting new field: Cognitive Interaction Technology. It aims to elucidate the principles and mechanisms of cognition in order to find ways of replicating them in technology and thus enable a new deep level of service and assistance. In order to proceed in this highly interdisciplinary field, appropriate research platforms and infrastructure are needed. The anthropomorphic robot head “Flobi” combines state-of-the-art sensing functionality with an exterior that elicits a sympathetic emotion response. In order to support several lines of research and at the same time ensure the maintainability of the software and hardware components, a virtual realization of the Flobi head has been proposed that allows an efficient prototyping, systematic testing, and software development in a continuous integration framework.;https://www.academia.edu/download/53698789/ki2012pd01.pdf;vLTMrJSiMvgJ
Martel, Y., Roßmann, A., Sultanow, E., Weiß, O., Wissel, M., Pelzel, F., & Seßler, M. (2021). Software Architecture Best Practices for Enterprise Artificial Intelligence.;1_ml_machine_data_learning;2021;Software Architecture Best Practices for Enterprise Artificial Intelligence;Yannick Martel, Arne Roßmann, Eldar Sultanow, Oliver Weiß, Matthias Wissel, Frank Pelzel, Matthias Seßler;Gesellschaft für Informatik, Bonn, 2021;AI systems are increasingly evolving from laboratory experiments in data analysis to increments of productive software products. A professional AI platform must therefore not only function as a laboratory environment but must be designed and procured as a workbench for the development, productive implementation, operation and maintenance of ML models. Subsequently, it needs to integrate within a global software engineering approach. This way, Enterprise Architecture Management (EAM) must implement efficient governance of the development cycle, to enable organization-wide collaboration, to accelerate the go-live and to standardize operations. In this paper we highlight obstacles and show best practices on how architects can integrate data science and AI in their environment. Additionally, we suggest an integrated approach adapting the best practices from both the data science and DevOps.;https://dl.gi.de/items/a625cd59-8f25-4530-894c-85f2032b833c;-bbBzYtRdlkJ
